name,lms-id,scenario-tag,ppc-scenario_initial-amount,ppc-scenario_final-amount,ppc-scenario_change-amount,ppc-scenario_percent-change
rpc3c094,ratio_proportion_change3-cms-094,PC-FPCFA-ME-002,25.0,,-13.0,
rpc3c096,ratio_proportion_change3-cms-096,PC-FPCFA-ME-014,40.0,,,10.0
rpc3c013,ratio_proportion_change3-cms-013,PC-FPCFA-ME-017,32.0,,24.0,
rpc3c056,ratio_proportion_change3-cms-056,PC-FPCFA-KE-6,4.0,,,-75.0
rpc3c037,ratio_proportion_change3-cms-037,PC-FPCFA-ME-013,10.0,,,10.0
rpc3c072,ratio_proportion_change3-cms-072,PC-FPCFA-NG-14,20.0,,,20.0
rpc3c029,ratio_proportion_change3-cms-029,PC-FPCFA-KE-6,60.0,,,-5.0
rpc3c051,ratio_proportion_change3-cms-051,PC-FPCFA-ME-020,25.0,,3.0,
rpc3c088,ratio_proportion_change3-cms-088,PC-FPCFA-ME-019,40.0,,-22.0,
rpc3c030,ratio_proportion_change3-cms-030,PC-FPCFA-KE-8,20.0,,,-70.0
rpc3c048,ratio_proportion_change3-cms-048,PC-FPCFA-NG-4,25.0,,,20.0
rpc3c032,ratio_proportion_change3-cms-032,PC-FPCFA-ME-006,50.0,,,-68.0
rpc3c016,ratio_proportion_change3-cms-016,PC-FPCFA-ME-020,60.0,,12.0,
rpc3c057,ratio_proportion_change3-cms-057,PC-FPCFA-KE-6,32.0,,,-75.0
rpc3c012,ratio_proportion_change3-cms-012,PC-FPCFA-ME-016,44.0,,22.0,
rpc3c097,ratio_proportion_change3-cms-097,PC-FPCFA-KE-7,20.0,12.0,,
rpc3c036,ratio_proportion_change3-cms-036,PC-FPCFA-ME-012,4.0,,,75.0
rpc3c071,ratio_proportion_change3-cms-071,PC-FPCFA-NG-14,20.0,,,45.0
rpc3c034,ratio_proportion_change3-cms-034,PC-FPCFA-ME-009,50.0,,,-74.0
rpc3c009,ratio_proportion_change3-cms-009,PC-FPCFA-ME-003,75.0,,-57.0,
rpc3c068,ratio_proportion_change3-cms-068,PC-FPCFA-ME-009,10.0,,,-70.0
rpc3c095,ratio_proportion_change3-cms-095,PC-FPCFA-ME-014,32.0,,,25.0
rpc3c055,ratio_proportion_change3-cms-055,PC-FPCFA-KE-2,20.0,17.0,,
rpc3c010,ratio_proportion_change3-cms-010,PC-FPCFA-ME-005,25.0,,-6.0,
rpc3c059,ratio_proportion_change3-cms-059,PC-FPCFA-ME-012,25.0,,,36.0
rpc3c021,ratio_proportion_change3-cms-021,PC-FPCFA-NG-17,8.0,,6.0,
rpc3c064,ratio_proportion_change3-cms-064,PC-FPCFA-KE-5,60.0,27.0,,
rpc3c099,ratio_proportion_change3-cms-099,PC-FPCFA-NG-10,20.0,,,80.0
rpc3c038,ratio_proportion_change3-cms-038,PC-FPCFA-ME-014,10.0,,,10.0
rpc3c007,ratio_proportion_change3-cms-007,PC-FPCFA-NG-8,140.0,,-77.0,
rpc3c042,ratio_proportion_change3-cms-042,PC-FPCFA-NG-10,50.0,,,58.0
rpc3c023,ratio_proportion_change3-cms-023,PC-FPCFA-NG-3,4.0,,1.0,
rpc3c066,ratio_proportion_change3-cms-066,PC-FPCFA-MWT-3 ,40.0,20.0,,
rpc3c027,ratio_proportion_change3-cms-027,PC-FPCFA-KE-1,4.0,,,-25.0
rpc3c062,ratio_proportion_change3-cms-062,PC-FPCFA-KE-8,4.0,,,-50.0
rpc3c003,ratio_proportion_change3-cms-003,PC-FPCFA-KE-3,72.0,126.0,,
rpc3c046,ratio_proportion_change3-cms-046,PC-FPCFA-NG-2,16.0,,,-25.0
rpc3c001,ratio_proportion_change3-cms-001,PC-FPCFA-MWT-3 ,20.0,16.0,,
rpc3c044,ratio_proportion_change3-cms-044,PC-FPCFA-NG-16,8.0,,,-75.0
rpc3c084,ratio_proportion_change3-cms-084,PC-FPCFA-ME-009,24.0,,,-75.0
rpc3c079,ratio_proportion_change3-cms-079,PC-FPCFA-NG-6,20.0,,,-65.0
rpc3c018,ratio_proportion_change3-cms-018,PC-FPCFA-NG-11,4.0,,3.0,
rpc3c025,ratio_proportion_change3-cms-025,PC-FPCFA-NG-7,5.0,,2.0,
rpc3c043,ratio_proportion_change3-cms-043,PC-FPCFA-NG-14,8.0,,,25.0
rpc3c006,ratio_proportion_change3-cms-006,PC-FPCFA-MWT-1,20.0,15.0,,
rpc3c083,ratio_proportion_change3-cms-083,PC-FPCFA-KE-7,8.0,6.0,,
rpc3c022,ratio_proportion_change3-cms-022,PC-FPCFA-NG-19,8.0,,4.0,
rpc3c020,ratio_proportion_change3-cms-020,PC-FPCFA-NG-15,10.0,,8.0,
rpc3c100,ratio_proportion_change3-cms-100,PC-FPCFA-ME-002,4.0,,-3.0,
rpc3c058,ratio_proportion_change3-cms-058,PC-FPCFA-NG-10,4.0,,,25.0
rpc3c039,ratio_proportion_change3-cms-039,PC-FPCFA-ME-015,20.0,,,95.0
rpc3c081,ratio_proportion_change3-cms-081,PC-FPCFA-ME-009,12.0,,,-75.0
rpc3c041,ratio_proportion_change3-cms-041,PC-FPCFA-MWT-4 ,50.0,,,-42.0
rpc3c078,ratio_proportion_change3-cms-078,PC-FPCFA-ME-005,36.0,,-18.0,
rpc3c045,ratio_proportion_change3-cms-045,PC-FPCFA-NG-18,12.0,,,25.0
rpc3c024,ratio_proportion_change3-cms-024,PC-FPCFA-NG-5,25.0,,-14.0,
rpc3c019,ratio_proportion_change3-cms-019,PC-FPCFA-NG-13,75.0,,69.0,
rpc3c063,ratio_proportion_change3-cms-063,PC-FPCFA-ME-014,8.0,,,50.0
rpc3c047,ratio_proportion_change3-cms-047,PC-FPCFA-NG-20,50.0,,,50.0
rpc3c087,ratio_proportion_change3-cms-087,PC-FPCFA-MWT-4 ,10.0,,,-50.0
